overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,deep,rem,wake,light
65,35,59,60,0.087740385,24490223982,11/2/19,25440000,368,56,4,424,89,60,58,56,250
86,42,107,61,0.067357513,24533606348,11/6/19,29460000,443,48,0,491,96,108,94,48,241
79,38,67,59,0.089757128,24559972015,11/7/19,28380000,415,58,0,473,95,67,82,58,266
80,39,80,58,0.071428571,24559972016,11/8/19,26280000,395,43,0,438,95,81,78,43,236
70,29,22,57,0.057831325,24604252564,11/12/19,13440000,194,30,0,224,92,23,42,30,129
80,38,66,56,0.06375,24624621242,11/13/19,24420000,371,36,4,407,97,66,93,36,212
76,42,65,55,0.061266874,24630940989,11/14/19,28860000,432,49,0,481,96,65,49,49,318
76,42,65,55,0.061266874,24630940989,11/14/19,28860000,432,49,0,481,96,65,49,49,318
79,41,65,56,0.072671443,24654476587,11/16/19,30180000,434,69,0,503,93,66,93,69,275
69,34,74,60,0.066763425,25149355672,12/20/19,21180000,314,39,1,353,92,75,69,39,170
59,26,79,59,0.059016393,25149355673,12/21/19,18360000,263,43,3,306,96,79,42,43,142
59,23,34,59,0.134751773,25149355674,12/21/19,12660000,174,37,3,211,92,34,40,37,100
56,20,41,59,0.068322981,25149355675,12/22/19,14460000,194,47,0,241,90,41,18,47,135
73,38,41,58,0.058323208,25149355676,12/23/19,25680000,380,48,0,428,94,41,64,48,275
76,35,62,58,0.084682441,25149355677,12/24/19,24060000,353,48,0,401,92,62,72,48,219
71,35,45,58,0.072049689,25149355678,12/25/19,24480000,355,53,0,408,92,46,44,53,265
62,26,41,57,0.0736,25173794790,12/28/19,18720000,266,46,0,312,92,41,36,46,189
80,46,97,57,0.057745188,25186719334,12/29/19,32940000,494,55,0,549,96,97,86,55,311
71,33,59,58,0.072847682,25199491746,12/30/19,22920000,327,55,0,382,89,60,52,55,215
71,36,84,57,0.088410992,25215074096,12/31/19,25080000,369,49,1,418,88,84,76,49,209
82,41,80,57,0.07523511,25228216350,1/1/20,28680000,426,52,0,478,91,80,126,52,220
82,40,55,56,0.056168506,25242381570,1/2/20,30480000,433,75,0,508,95,56,90,75,287
82,42,94,55,0.064824655,25317419699,1/4/20,28200000,426,44,0,470,96,94,100,44,232
75,40,84,55,0.066734075,25317419701,1/6/20,29640000,428,66,0,494,95,84,85,66,259
75,39,89,56,0.05092091,25317419702,1/7/20,27960000,415,51,0,466,100,89,99,51,227
75,36,72,58,0.069095477,25335384187,1/8/20,24240000,352,52,0,404,95,72,57,52,223
80,42,69,56,0.057411273,25355291573,1/9/20,29760000,433,63,0,496,94,70,52,63,311
87,44,129,57,0.08185654,25373846429,1/10/20,35520000,516,76,0,592,95,129,139,76,248
87,45,120,58,0.078529657,25389450043,1/11/20,36180000,536,67,0,603,96,120,95,67,321
81,38,41,58,0.058343057,25412819392,1/13/20,26220000,388,49,0,437,97,41,88,49,259
81,38,41,58,0.058343057,25412819392,1/13/20,26220000,388,49,0,437,97,41,88,49,259
83,39,78,57,0.057757644,25518354324,1/14/20,26460000,401,40,0,441,96,78,90,40,233
76,38,65,56,0.0433213,25518354325,1/15/20,25320000,383,39,0,422,96,65,81,39,237
78,36,50,57,0.064699205,25518354326,1/16/20,26400000,388,52,0,440,95,50,82,52,256
85,42,69,58,0.061833689,25518354327,1/17/20,29880000,431,67,0,498,95,69,113,67,249
79,39,54,57,0.053392659,25518354328,1/18/20,26940000,412,37,1,449,98,54,60,37,298
80,42,53,56,0.0647343,25518354329,1/19/20,31500000,469,56,1,525,95,53,66,56,350
77,36,76,56,0.044733045,25517978451,1/20/20,23220000,325,62,0,387,97,76,49,62,200
69,27,31,53,0.044496487,25533571518,1/21/20,12780000,189,24,0,213,96,31,52,24,106
73,35,56,53,0.055699482,25550742027,1/22/20,23280000,343,45,0,388,97,56,62,45,225
75,36,83,53,0.07804878,25563505527,1/23/20,25500000,364,61,0,425,93,84,48,61,232
66,26,33,53,0.095238095,25699777733,1/25/20,13860000,200,31,0,231,92,34,44,31,122
81,38,84,53,0.077812829,25699777734,1/26/20,28500000,419,56,8,475,95,85,99,56,235
62,34,64,54,0.113975577,25699777735,1/28/20,22080000,323,45,0,368,89,64,47,45,212
76,37,50,54,0.063122924,25699777736,1/29/20,27120000,399,53,0,452,98,50,95,53,254
72,33,58,55,0.045521292,25699777738,1/30/20,21960000,309,57,0,366,95,58,45,57,206
71,35,76,56,0.052,25699777739,1/31/20,22680000,337,41,0,378,97,76,38,41,223
82,44,71,58,0.046413502,25711302809,2/1/20,36000000,518,82,0,600,95,71,79,82,368
75,34,81,58,0.078431373,25723818906,2/2/20,24900000,354,61,0,415,92,81,65,61,208
67,28,90,57,0.1352657,25783721924,2/3/20,31020000,405,112,0,517,95,90,88,112,227
72,33,55,56,0.090512541,25783721925,2/4/20,27480000,386,72,0,458,94,55,64,72,267
81,41,66,56,0.070841889,25783721926,2/5/20,29400000,427,63,0,490,96,66,64,63,297
82,41,59,56,0.07612782,25783721927,2/6/20,32220000,476,61,0,537,96,59,105,61,312
70,33,53,55,0.075669383,25797208763,2/7/20,26220000,367,70,0,437,96,54,98,70,215
84,40,64,58,0.051801802,25901485613,2/9/20,29160000,416,70,0,486,96,65,87,70,264
78,37,62,58,0.069524913,25901485614,2/10/20,26820000,386,61,0,447,96,62,61,61,263
81,37,86,57,0.068660022,25901485615,2/11/20,28800000,399,81,0,480,95,86,89,81,224
71,32,37,56,0.057618438,25901485616,2/12/20,23400000,335,55,0,390,96,37,40,55,258
71,32,37,56,0.057618438,25901485616,2/12/20,23400000,335,55,0,390,96,37,40,55,258
79,38,111,56,0.07580825,25901485617,2/13/20,27240000,396,58,0,454,94,112,72,58,212
68,38,77,54,0.074853801,25981065830,2/15/20,26040000,387,47,0,434,89,77,54,47,256
82,42,68,54,0.067940552,25981065831,2/16/20,28380000,433,40,0,473,93,68,133,40,232
77,38,58,54,0.047789725,25981065833,2/18/20,25200000,382,38,0,420,96,58,70,38,254
76,39,94,55,0.045034642,25981065834,2/19/20,27000000,401,49,0,450,98,95,51,49,255
74,34,42,55,0.09033877,26003278888,2/21/20,24120000,344,58,0,402,94,43,71,58,230
72,36,59,55,0.076238882,26176058395,2/27/20,23580000,355,38,0,393,97,59,51,38,245
69,30,45,56,0.104011887,26189392113,3/5/20,20160000,291,45,0,336,95,45,82,45,164
82,41,54,56,0.051030422,26205999431,3/6/20,30540000,448,61,3,509,96,54,128,61,266
84,42,80,56,0.056410256,26219086089,3/7/20,29220000,442,45,0,487,96,80,103,45,259
84,43,36,55,0.067134269,26232590156,3/8/20,32040000,469,65,1,534,94,36,97,65,336
75,36,64,55,0.082840237,26246001563,3/9/20,25320000,367,55,1,422,95,64,54,55,249
73,31,88,53,0.071736011,26509000922,3/22/20,21480000,303,55,0,358,87,88,79,55,136
67,33,26,53,0.059334298,26509000923,3/23/20,20700000,310,35,0,345,93,27,61,35,222
79,39,69,54,0.055878929,26509000924,3/24/20,25860000,392,39,0,431,93,70,106,39,216
72,36,95,55,0.061617458,26509000925,3/26/20,23340000,350,39,1,389,93,96,71,39,183
77,36,68,59,0.041474654,26516780913,3/29/20,26340000,344,35,0,439,97,69,83,35,192
73,34,73,59,0.091539528,26529030635,3/30/20,21840000,325,39,0,364,91,73,58,39,194
