overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,deep,rem,wake,light
69,35,65,47,0.067132867,24496661273,11/3/19,21780000,325,38,0,363,95,65,41,38,219
74,39,76,49,0.057176196,24507282488,11/4/19,25740000,391,38,6,429,97,76,52,38,263
80,40,48,50,0.04176611,24521264019,11/5/19,25380000,394,29,0,423,98,48,79,29,267
83,43,61,50,0.035320088,24533091206,11/6/19,27900000,423,42,0,465,97,61,47,42,315
83,39,113,49,0.042997543,24545763802,11/7/19,25020000,379,38,3,417,99,113,63,38,203
75,38,70,48,0.058530511,24557853408,11/8/19,24480000,372,36,1,408,98,70,70,36,232
79,36,94,49,0.055480379,24568212410,11/9/19,22140000,337,32,0,369,97,94,59,32,184
82,42,119,49,0.103797468,24592858496,11/11/19,35520000,487,105,0,592,90,119,77,105,291
79,39,95,48,0.062569832,24607479239,11/12/19,27120000,407,45,0,452,98,95,104,45,208
84,43,78,49,0.053971487,24621015054,11/13/19,29580000,458,35,5,493,100,79,121,35,258
74,36,68,49,0.053061224,24631465096,11/14/19,22020000,339,28,0,367,99,68,75,28,196
82,40,88,48,0.045720985,24646187589,11/15/19,26340000,398,41,0,439,97,88,113,41,197
77,37,73,48,0.067065868,24656738399,11/16/19,25860000,371,60,0,431,94,74,77,60,220
77,41,110,48,0.123719464,24665542206,11/17/19,38160000,511,125,1,636,92,110,51,125,350
79,42,79,47,0.042598509,24679261464,11/18/19,28200000,423,47,0,470,99,79,62,47,282
76,39,73,47,0.071498531,24693510220,11/19/19,30600000,433,77,0,510,94,73,61,77,299
67,36,71,47,0.056152927,24707432044,11/20/19,25080000,364,54,1,418,98,71,51,54,242
86,43,89,49,0.045599152,24722175987,11/21/19,28560000,436,40,0,476,98,89,95,40,252
84,42,46,49,0.053069719,24741602840,11/22/19,28800000,427,53,0,480,98,46,102,53,279
66,29,21,49,0.078378378,24752041950,11/23/19,11520000,166,26,0,192,94,22,21,26,123
62,28,41,47,0.055172414,24759202056,11/24/19,13020000,191,26,0,217,95,41,51,26,99
77,39,34,47,0.042925278,24762453576,11/24/19,21000000,305,45,0,350,96,34,46,45,225
65,35,19,50,0.056980057,24783452020,11/26/19,11820000,168,29,0,197,95,19,20,29,129
67,27,31,51,0.015384615,24797705507,11/27/19,17520000,256,36,0,292,100,32,25,36,199
88,42,109,51,0.032392894,24805899784,11/28/19,28920000,433,49,0,482,97,109,93,49,231
71,31,36,49,0.026694045,24817501661,11/29/19,16800000,227,53,0,280,96,37,36,53,154
87,42,56,49,0.021920668,24829064419,11/30/19,28920000,442,40,0,482,100,57,146,40,239
87,42,56,49,0.021920668,24829064419,11/30/19,28920000,442,40,0,482,100,57,146,40,239
87,42,100,49,0.039378238,24839914629,12/1/19,28920000,439,43,0,482,98,101,124,43,214
71,35,47,48,0.062586926,24850322623,12/2/19,21660000,323,38,0,361,97,47,50,38,226
78,35,32,49,0.06284153,24862152273,12/3/19,22320000,329,43,0,372,97,32,84,43,213
73,33,48,49,0.058741259,24885254393,12/4/19,21840000,313,51,0,364,97,48,48,51,217
72,38,72,47,0.068923821,24895268147,12/5/19,25140000,376,43,0,419,96,73,45,43,258
84,40,85,49,0.031287605,24906930424,12/6/19,25140000,392,27,0,419,99,86,71,27,235
83,42,106,48,0.069813176,24919092741,12/7/19,30960000,462,54,0,516,96,106,139,54,217
75,37,67,48,0.041564792,24928573960,12/8/19,24780000,369,44,0,413,99,67,47,44,255
70,34,76,49,0.047008547,24939969481,12/9/19,21420000,317,40,0,357,99,76,31,40,210
83,38,96,49,0.032851511,24953593889,12/10/19,23340000,358,31,0,389,97,96,90,31,172
73,33,67,50,0.05047749,24966405966,12/11/19,21960000,321,45,0,366,97,67,42,45,212
78,37,64,50,0.054794521,24977749065,12/12/19,24360000,362,44,0,406,98,64,54,44,244
77,37,96,50,0.04915912,24991429232,12/13/19,23160000,352,34,5,386,99,96,46,34,210
76,41,76,49,0.043307087,25002803912,12/14/19,24060000,365,36,0,401,98,76,70,36,219
65,29,51,52,0.036968577,25013700651,12/15/19,16620000,247,30,0,277,97,51,62,30,134
90,47,52,54,0.030243902,25024964804,12/16/19,31440000,481,43,1,524,96,53,100,43,328
80,34,105,53,0.06025641,25037255114,12/17/19,23760000,341,55,0,396,97,105,84,55,152
79,35,43,52,0.042105263,25052435147,12/18/19,23820000,341,56,0,397,99,44,69,56,228
77,34,52,50,0.071332436,25067461853,12/19/19,22440000,327,47,4,374,99,52,69,47,206
74,35,84,50,0.052910053,25082636142,12/20/19,22980000,336,47,1,383,96,84,64,47,188
86,43,107,51,0.057004831,25092965569,12/21/19,31020000,476,41,0,517,99,107,95,41,274
76,38,107,51,0.059561129,25105870834,12/22/19,28680000,418,60,0,478,97,107,57,60,254
