overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,deep,rem,wake,light
84,42,94,64,0.063316583,25038452012,12/13/19,29820000,453,44,0,497,97,94,129,44,230
76,34,67,65,0.135223555,25038452014,12/14/19,27480000,390,68,0,458,85,67,112,68,211
66,35,85,64,0.053857351,25038452016,12/15/19,20940000,319,30,0,349,93,85,54,30,180
79,39,80,65,0.085744909,25038452018,12/16/19,27960000,417,49,0,466,95,80,94,49,243
80,36,87,66,0.066897347,25038452019,12/17/19,25980000,382,51,0,433,94,88,86,51,208
77,33,46,66,0.048903879,25088880372,12/18/19,18600000,280,30,0,310,98,46,64,30,170
77,35,88,66,0.053349876,25088880373,12/19/19,24180000,358,45,0,403,96,89,101,45,168
83,38,82,66,0.049555273,25088880374,12/20/19,23580000,368,25,0,393,100,82,103,25,183
68,30,62,66,0.053125,25104898389,12/22/19,19980000,284,49,0,333,95,62,45,49,177
82,38,32,66,0.038512616,25116960703,12/23/19,23220000,360,27,1,387,99,32,81,27,247
77,35,58,64,0.056737589,25127453319,12/24/19,21480000,328,30,0,358,97,58,59,30,211
87,45,99,64,0.068201194,25176840829,12/25/19,35520000,530,62,0,592,96,99,122,62,309
81,38,106,64,0.057309942,25176840830,12/26/19,25920000,388,44,0,432,97,106,93,44,189
85,42,131,64,0.126607989,25176840831,12/27/19,44280000,628,110,0,738,89,131,190,110,307
78,39,74,65,0.144697721,25176840832,12/28/19,30240000,426,78,1,504,90,74,110,78,242
77,33,67,66,0.054307116,25185084737,12/29/19,16740000,253,26,6,279,93,68,64,26,121
82,37,73,66,0.060908084,25212478077,12/30/19,27600000,403,57,0,460,94,74,104,57,225
73,34,37,65,0.070422535,25215287457,12/31/19,23400000,341,49,3,390,97,37,67,49,237
59,28,70,66,0.106317411,25227445628,1/1/20,19440000,280,44,1,324,91,71,32,44,177
81,40,63,67,0.049826188,25241213238,1/2/20,26700000,408,37,0,445,96,63,145,37,200
80,36,75,68,0.06615215,25256382469,1/3/20,27780000,398,65,0,463,93,75,100,65,223
74,32,32,68,0.035830619,25268306667,1/4/20,18720000,282,30,0,312,96,32,55,30,195
70,28,55,66,0.109114249,25282206791,1/5/20,23340000,326,63,0,389,90,56,76,63,194
78,36,96,64,0.056647399,25296480291,1/6/20,25920000,385,47,0,432,96,96,63,47,226
79,35,78,63,0.084262701,25313319038,1/7/20,24180000,357,46,1,403,92,78,108,46,171
79,35,78,63,0.084262701,25313319038,1/7/20,24180000,357,46,1,403,92,78,108,46,171
79,38,51,64,0.056890013,25356622311,1/9/20,24360000,368,38,0,406,99,52,62,38,254
77,37,25,63,0.046776233,25373227429,1/10/20,24240000,363,41,9,404,95,25,84,41,254
76,31,68,65,0.067549669,25385045103,1/11/20,22620000,326,51,0,377,94,69,90,51,167
79,35,76,63,0.093573844,25399907944,1/12/20,26640000,387,57,0,444,87,76,101,57,210
80,35,38,61,0.025568182,25412377139,1/13/20,22740000,329,50,2,379,94,38,94,50,197
84,39,78,61,0.038416764,25505101421,1/14/20,25740000,398,31,0,429,97,78,88,31,232
83,38,72,61,0.045092838,25505101422,1/15/20,23760000,362,34,0,396,96,72,86,34,204
88,43,51,62,0.045801527,25505101423,1/16/20,28980000,434,49,0,483,97,52,130,49,252
78,34,62,62,0.053370787,25505101424,1/17/20,21420000,322,35,0,357,97,62,96,35,164
82,38,40,62,0.055350554,25505101425,1/18/20,24660000,374,37,0,411,98,40,98,37,236
78,36,51,62,0.088200238,25505101426,1/19/20,25140000,372,47,0,419,93,52,80,47,240
80,35,71,62,0.05670816,25516463514,1/20/20,21660000,330,31,0,361,96,71,80,31,179
83,38,49,63,0.042199488,25634666239,1/23/20,23580000,370,23,0,393,98,50,83,23,237
82,39,78,62,0.048554913,25634666241,1/24/20,27060000,398,53,0,451,94,78,80,53,240
80,35,82,62,0.05766526,25634666242,1/25/20,21480000,326,32,0,358,96,82,83,32,161
80,38,53,62,0.058895706,25634666243,1/26/20,24420000,376,31,0,407,97,54,82,31,240
81,37,78,60,0.054292929,25634666244,1/27/20,24000000,362,38,0,400,96,78,102,38,182
79,37,98,62,0.040428062,25638548789,1/28/20,25200000,380,40,0,420,96,98,72,40,210
81,36,66,63,0.064388962,25665675604,1/29/20,23100000,351,34,0,385,96,67,118,34,166
92,47,115,63,0.042417815,25801674014,2/2/20,28260000,442,29,0,471,100,115,109,29,218
82,38,27,62,0.037300178,25801674015,2/3/20,17460000,271,20,0,291,99,27,86,20,158
91,47,85,62,0.039117352,25801674016,2/4/20,31140000,464,55,5,519,99,85,99,55,280
85,42,80,62,0.046857143,25801674017,2/5/20,26280000,393,45,0,438,99,80,79,45,234
79,36,54,62,0.075885329,25801674018,2/6/20,17760000,269,27,0,296,98,54,82,27,133
79,36,54,62,0.075885329,25801674018,2/6/20,17760000,269,27,0,296,98,54,82,27,133
91,47,54,62,0.04894327,25801674019,2/7/20,27540000,420,39,1,459,97,55,104,39,261
78,38,43,59,0.076461769,26001437252,2/15/20,20700000,313,32,0,345,94,43,89,32,181
78,38,60,59,0.058084772,26001437253,2/16/20,19080000,300,18,0,318,100,60,92,18,148
85,43,99,60,0.050175029,26001437254,2/17/20,25680000,398,30,0,428,97,99,124,30,175
81,42,81,61,0.046674446,26001437255,2/18/20,25680000,385,43,7,428,97,81,66,43,238
83,42,91,62,0.039488966,26001437256,2/19/20,26220000,389,48,0,437,97,91,87,48,211
82,39,57,63,0.041825095,26001437257,2/20/20,23700000,359,36,0,395,97,57,70,36,232
62,37,28,62,0.088657106,26288393354,3/6/20,23040000,334,50,1,384,88,29,15,50,290
72,39,15,64,0.098013245,26288393356,3/7/20,23220000,341,46,0,387,93,16,90,46,235
72,39,15,64,0.098013245,26288393356,3/7/20,23220000,341,46,0,387,93,16,90,46,235
79,39,80,66,0.090659341,26288393357,3/8/20,22020000,335,32,0,367,96,80,64,32,191
86,46,89,67,0.069375619,26288393358,3/9/20,30240000,460,44,0,504,98,89,78,44,293
90,46,53,68,0.06283857,26288393361,3/10/20,27660000,421,40,0,461,96,53,100,40,268
75,37,35,70,0.075159236,26288393363,3/11/20,23520000,338,54,0,392,93,36,44,54,258
79,38,52,70,0.035851472,26288393364,3/12/20,23400000,347,43,1,390,97,52,54,43,241
86,43,52,66,0.046398046,26362009390,3/13/20,25320000,381,41,2,422,97,53,93,41,235
82,38,50,66,0.050632911,26362009391,3/14/20,21300000,324,31,5,355,95,50,97,31,177
71,40,66,67,0.044929397,26362009392,3/15/20,23340000,353,36,0,389,98,66,52,36,235
85,42,45,68,0.053204353,26362009393,3/16/20,24780000,374,39,0,413,99,46,75,39,253
87,43,70,68,0.062427746,26362009394,3/17/20,26580000,404,39,0,443,97,71,102,39,231
89,43,72,69,0.027522936,26373461658,3/18/20,23700000,360,35,0,395,99,72,80,35,208
86,43,88,69,0.043024772,26417712764,3/19/20,23820000,361,36,0,397,97,88,67,36,206
87,42,74,69,0.068649886,26417712765,3/20/20,26280000,397,41,0,438,95,75,90,41,232
84,40,96,68,0.058064516,26417712766,3/21/20,23400000,355,35,0,390,97,97,72,35,186
89,43,87,69,0.039099526,26454450457,3/22/20,25380000,396,27,0,423,100,87,91,27,218
86,43,94,68,0.056666667,26454450458,3/23/20,27720000,415,47,0,462,98,94,81,47,240
78,38,59,68,0.077300613,26454450459,3/24/20,24420000,353,54,0,407,96,59,63,54,231
89,46,79,67,0.064034152,26467007799,3/25/20,28200000,433,37,0,470,96,79,94,37,260
79,39,57,68,0.038961039,26478918358,3/26/20,23220000,346,41,0,387,98,57,51,41,238
91,46,88,68,0.044228695,26491303914,3/27/20,28260000,424,47,0,471,99,88,109,47,227
87,44,79,68,0.04358655,26503722204,3/28/20,24480000,382,26,1,408,98,80,80,26,222
75,36,25,67,0.052980132,26515420272,3/29/20,23040000,285,39,0,384,99,25,61,39,199
88,46,62,66,0.077069458,26528244004,3/30/20,31500000,476,49,0,525,96,63,125,49,288
