overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,deep,rem,wake,light
73,34,71,64,0.056835637,24492529243,11/2/19,19500000,303,22,0,325,96,71,86,22,146
66,25,51,66,0.114119923,24497617507,11/3/19,15480000,224,34,1,258,89,51,66,34,107
78,34,78,66,0.076716016,24610755462,11/6/19,22260000,332,39,2,371,93,78,107,39,147
78,34,88,66,0.082748948,24610755463,11/7/19,21360000,323,33,0,356,91,88,72,33,163
77,34,61,65,0.100830368,24610755464,11/8/19,25260000,365,56,0,421,93,62,110,56,193
77,34,61,65,0.100830368,24610755464,11/8/19,25260000,365,56,0,421,93,62,110,56,193
79,36,78,66,0.078184111,24610755465,11/9/19,23760000,357,39,0,396,94,78,112,39,167
83,38,73,65,0.035433071,24610755467,11/10/19,24060000,362,39,7,401,99,73,83,39,206
76,32,57,64,0.074796748,24627152704,11/13/19,18840000,281,33,4,314,96,57,72,33,152
74,32,74,61,0.07133758,24675145117,11/14/19,23520000,339,53,0,392,92,74,78,53,187
76,39,52,61,0.090188305,24675145118,11/15/19,30420000,435,72,1,507,93,52,81,72,302
76,34,40,61,0.071707953,24675145119,11/16/19,23580000,342,51,0,393,96,40,89,51,213
72,32,19,61,0.104143337,24675145120,11/17/19,26820000,376,71,0,447,91,19,109,71,248
79,34,84,61,0.054441261,24675145121,11/18/19,21240000,319,35,6,354,100,84,68,35,167
81,40,77,60,0.077486911,24787002611,11/20/19,28920000,420,62,0,482,93,78,92,62,250
85,41,82,60,0.073015873,24787002612,11/21/19,28320000,420,52,0,472,93,82,107,52,231
81,37,76,61,0.065320665,24787002613,11/22/19,25320000,378,44,0,422,95,76,105,44,197
81,41,44,61,0.072361809,24787002614,11/23/19,29880000,445,53,0,498,94,44,99,53,302
74,37,46,61,0.092571429,24787002615,11/24/19,26220000,387,50,0,437,92,47,73,50,267
78,36,35,60,0.088681447,24787002617,11/25/19,25740000,381,48,0,429,93,36,82,48,263
78,36,54,61,0.062256809,24787002618,11/26/19,23100000,351,34,0,385,99,54,91,34,206
79,36,74,61,0.081838565,24802914398,11/27/19,26820000,388,59,0,447,94,74,86,59,228
84,43,104,62,0.07523511,24823985721,11/28/19,29400000,445,45,0,490,96,104,104,45,237
83,42,80,62,0.059384942,24823985722,11/29/19,28260000,426,45,0,471,93,80,95,45,251
79,38,81,63,0.074807481,24915539328,11/30/19,27420000,405,52,0,457,94,81,86,52,238
78,35,53,63,0.044182622,24915539329,12/1/19,20520000,319,23,0,342,99,54,92,23,173
81,37,91,64,0.057034221,24915539330,12/2/19,23640000,361,33,10,394,96,91,80,33,190
73,29,58,64,0.057591623,24915539331,12/3/19,17160000,259,27,0,286,97,58,61,27,140
78,34,55,65,0.035222052,24915539332,12/4/19,20160000,302,34,0,336,96,55,77,34,170
80,36,106,66,0.033292232,24915539333,12/5/19,24300000,363,42,0,405,95,107,73,42,183
77,38,60,66,0.066516347,24915539334,12/6/19,26640000,401,43,0,444,97,61,102,43,238
71,30,77,67,0.070626003,24941889525,12/7/19,18720000,279,33,0,312,94,77,58,33,144
85,39,66,67,0.041860465,24941889526,12/8/19,19320000,311,11,0,322,100,66,84,11,161
85,39,66,67,0.041860465,24941889526,12/8/19,19320000,311,11,0,322,100,66,84,11,161
88,44,105,66,0.086767896,24941889527,12/9/19,41700000,617,78,5,695,94,105,155,78,357
77,34,44,64,0.034755134,25038452009,12/11/19,19020000,299,18,0,317,98,44,62,18,193
78,37,34,64,0.080415045,25038452011,12/12/19,23100000,353,32,0,385,94,34,92,32,227
