Start,End,Quality,TimeInBed,WakeUp,SleepNotes,HeartRate
4/3/16 21:44,4/4/16 6:24,67%,8:39,,Drank coffee,
4/4/16 21:23,4/5/16 6:29,62%,9:05,,Drank coffee,
4/5/16 21:13,4/6/16 6:24,81%,9:11,,Drank coffee:Worked out,
4/6/16 23:00,4/7/16 5:55,73%,6:55,,Drank coffee:Drank tea:Worked out,
4/7/16 21:48,4/8/16 5:49,81%,8:00,,Ate late:Drank coffee:Drank tea:Worked out,
4/9/16 0:51,4/9/16 7:21,53%,6:30,,Drank coffee:Drank tea:Worked out,
4/9/16 22:59,4/10/16 7:59,94%,9:00,,Drank coffee:Drank tea:Worked out,
4/10/16 22:04,4/11/16 5:16,67%,7:12,,Drank tea,
4/11/16 22:35,4/12/16 5:54,82%,7:19,,Drank coffee:Drank tea:Stressful day:Worked out,
4/12/16 22:18,4/13/16 5:52,85%,7:33,,Drank coffee:Drank tea:Worked out,
4/13/16 22:27,4/14/16 6:13,77%,7:45,,Drank coffee:Drank tea:Worked out,
4/14/16 21:43,4/15/16 6:24,94%,8:41,,Drank coffee:Drank tea:Stressful day:Worked out,
4/15/16 22:38,4/16/16 7:25,81%,8:47,,Drank coffee:Drank tea,
4/17/16 21:34,4/18/16 6:26,75%,8:52,,Drank coffee:Drank tea,
4/19/16 21:21,4/20/16 6:20,79%,8:59,,Drank coffee:Drank tea:Worked out,
4/20/16 21:25,4/21/16 5:35,81%,8:09,,Ate late:Drank coffee:Drank tea:Worked out,
4/21/16 21:54,4/22/16 5:35,79%,7:40,,,
4/22/16 5:37,4/22/16 6:20,9%,0:42,,,
4/23/16 0:46,4/23/16 7:54,65%,7:07,,Drank coffee:Drank tea:Worked out,
4/24/16 22:30,4/25/16 6:14,81%,7:43,,Drank tea,
4/25/16 22:07,4/26/16 5:39,87%,7:31,,Ate late:Drank coffee:Drank tea:Worked out,
4/26/16 22:48,4/27/16 6:20,74%,7:32,,Drank coffee:Drank tea:Worked out,
4/27/16 22:24,4/28/16 6:25,92%,8:01,,Drank coffee:Drank tea:Worked out,
4/28/16 22:23,4/29/16 6:17,95%,7:53,,Drank coffee:Drank tea:Worked out,
4/29/16 22:47,4/30/16 5:57,81%,7:09,,Drank coffee:Drank tea:Worked out,
5/1/16 21:27,5/2/16 6:15,95%,8:47,,Drank coffee:Worked out,
5/2/16 21:50,5/3/16 6:20,85%,8:29,,Drank coffee:Worked out,
5/3/16 22:19,5/4/16 6:20,79%,8:01,,Drank coffee:Worked out,
5/4/16 22:16,5/5/16 6:30,83%,8:13,,Drank coffee:Drank tea:Worked out,
5/5/16 22:20,5/6/16 6:15,89%,7:54,,Ate late:Drank coffee,
5/6/16 23:07,5/7/16 7:08,87%,8:00,,Drank coffee:Drank tea:Stressful day:Worked out,
5/7/16 23:20,5/8/16 7:12,93%,7:51,,Drank coffee:Drank tea,
5/8/16 23:44,5/9/16 6:20,74%,6:36,,Drank coffee:Drank tea,
5/9/16 22:10,5/10/16 5:41,83%,7:30,,Drank coffee:Drank tea:Worked out,
5/10/16 23:10,5/11/16 5:30,74%,6:20,,Drank coffee:Drank tea:Worked out,
5/11/16 22:43,5/12/16 6:25,80%,7:41,,Drank coffee:Drank tea:Worked out,
5/12/16 23:50,5/13/16 6:50,83%,6:59,,Drank coffee:Drank tea:Worked out,
5/13/16 23:08,5/14/16 7:53,100%,8:45,,Drank coffee:Drank tea:Worked out,
5/15/16 21:34,5/16/16 6:07,81%,8:33,,Drank tea,
5/16/16 21:34,5/17/16 6:15,85%,8:40,,Drank coffee:Worked out,
5/17/16 20:53,5/18/16 6:10,83%,9:16,,Drank coffee:Worked out,
5/18/16 22:26,5/19/16 5:40,79%,7:14,,Drank coffee:Stressful day,
5/20/16 0:00,5/20/16 6:30,76%,6:30,,Drank coffee:Worked out,
5/20/16 23:14,5/21/16 7:34,91%,8:19,,Drank coffee:Worked out,
5/23/16 22:34,5/24/16 5:30,75%,6:55,,Drank coffee,
5/24/16 22:00,5/25/16 5:35,90%,7:35,,Drank coffee:Worked out,
5/25/16 22:21,5/26/16 6:31,88%,8:09,,Drank coffee:Worked out,
5/26/16 22:08,5/27/16 6:19,89%,8:11,,Drank coffee:Worked out,
5/28/16 0:19,5/28/16 7:15,72%,6:56,,Drank coffee:Worked out,
5/29/16 22:04,5/30/16 6:40,100%,8:36,,Drank coffee,
5/30/16 22:07,5/31/16 6:08,72%,8:00,,Drank coffee:Stressful day,
5/31/16 23:02,6/1/16 6:31,70%,7:28,,Drank coffee:Worked out,
6/1/16 23:01,6/2/16 5:48,67%,6:46,,Drank coffee:Worked out,
6/2/16 22:51,6/3/16 5:31,65%,6:39,,Drank coffee:Worked out,
6/5/16 22:33,6/6/16 5:51,71%,7:18,,Worked out,
6/6/16 23:26,6/7/16 5:31,70%,6:05,,Drank coffee:Worked out,
6/7/16 22:32,6/8/16 5:32,77%,6:59,,Drank coffee:Worked out,
6/8/16 21:56,6/9/16 6:16,76%,8:20,,Drank coffee:Worked out,
6/9/16 22:07,6/10/16 6:35,87%,8:27,,Ate late:Drank coffee:Worked out,
6/11/16 22:42,6/12/16 8:41,93%,9:58,,Drank tea,
6/12/16 22:52,6/13/16 6:32,77%,7:39,,Drank tea,
6/13/16 22:03,6/14/16 6:26,82%,8:22,,Drank tea:Worked out,
6/14/16 22:32,6/15/16 6:30,68%,7:58,,Drank coffee:Drank tea,
6/16/16 0:46,6/16/16 6:25,64%,5:38,,Drank coffee:Drank tea:Worked out,
6/16/16 22:06,6/17/16 6:01,83%,7:54,,Drank coffee:Drank tea:Worked out,
6/17/16 23:28,6/18/16 7:23,79%,7:54,,Drank coffee:Drank tea:Worked out,
6/19/16 23:00,6/20/16 6:00,74%,6:59,,Drank coffee,
6/20/16 22:34,6/21/16 5:50,83%,7:15,,Drank coffee:Worked out,
6/21/16 22:11,6/22/16 5:40,83%,7:29,,Drank coffee:Worked out,
6/22/16 22:41,6/23/16 6:22,82%,7:41,,Drank coffee:Worked out,
6/23/16 22:32,6/24/16 6:32,86%,8:00,,Drank coffee:Worked out,
6/26/16 22:16,6/27/16 6:30,64%,8:14,,Drank coffee,
6/27/16 23:48,6/28/16 6:47,62%,6:58,,Drank coffee:Stressful day:Worked out,
6/28/16 23:10,6/29/16 6:35,77%,7:25,,Drank coffee:Worked out,
6/29/16 22:32,6/30/16 5:55,83%,7:23,,Drank coffee:Stressful day:Worked out,
7/1/16 23:32,7/2/16 7:32,90%,8:00,,Drank coffee,
7/3/16 21:49,7/4/16 6:02,86%,8:12,,,
7/4/16 21:39,7/5/16 5:50,85%,8:11,,Drank coffee:Worked out,
7/5/16 22:48,7/6/16 6:05,75%,7:16,,Drank coffee:Stressful day:Worked out,
7/6/16 22:13,7/7/16 6:15,92%,8:02,,Drank coffee:Worked out,
7/7/16 22:53,7/8/16 7:05,96%,8:12,,Drank coffee:Worked out,
7/10/16 22:18,7/11/16 6:17,85%,7:59,,Drank coffee,
7/11/16 21:24,7/12/16 6:15,99%,8:50,,Drank coffee:Worked out,
7/12/16 22:02,7/13/16 6:15,96%,8:13,,Drank coffee:Worked out,
7/13/16 23:13,7/14/16 6:15,78%,7:02,,Drank coffee:Worked out,
7/14/16 22:39,7/15/16 6:15,84%,7:35,,Drank coffee:Stressful day:Worked out,
7/16/16 0:32,7/16/16 8:19,87%,7:47,,Drank coffee:Worked out,
7/16/16 23:20,7/17/16 7:31,98%,8:10,,Drank coffee:Worked out,
7/17/16 22:23,7/18/16 6:00,76%,7:37,,Drank coffee:Worked out,
7/18/16 22:57,7/19/16 6:05,77%,7:08,,Drank coffee:Stressful day:Worked out,
7/19/16 22:36,7/20/16 5:50,77%,7:14,,Drank coffee:Worked out,
7/20/16 22:25,7/21/16 5:56,82%,7:30,,Drank coffee:Worked out,
7/21/16 23:07,7/22/16 7:00,87%,7:52,,Drank coffee:Worked out,
7/22/16 22:20,7/23/16 7:56,99%,9:35,,Drank coffee,
7/23/16 23:47,7/24/16 7:56,74%,8:09,,Drank coffee,
7/24/16 22:45,7/25/16 6:14,81%,7:28,,Drank coffee:Worked out,
7/25/16 21:54,7/26/16 6:02,86%,8:07,,Drank coffee:Worked out,
7/26/16 23:03,7/27/16 6:11,84%,7:07,,Drank coffee:Worked out,
7/27/16 22:49,7/28/16 7:11,95%,8:21,,Drank coffee:Stressful day:Worked out,
7/28/16 22:25,7/29/16 3:35,35%,5:10,,Drank coffee,
8/16/16 22:05,8/17/16 5:50,96%,7:44,,Drank coffee:Drank tea:Stressful day,
8/17/16 22:42,8/18/16 6:15,78%,7:33,,Ate late:Drank coffee:Worked out,
8/18/16 21:58,8/19/16 6:23,36%,8:24,,Drank coffee:Worked out,
8/20/16 22:04,8/21/16 8:33,56%,10:28,,Drank coffee,
8/21/16 22:08,8/22/16 6:20,52%,8:11,,Drank coffee:Drank tea,
8/22/16 22:13,8/23/16 6:22,35%,8:09,,Drank coffee:Worked out,
8/23/16 23:08,8/24/16 6:38,51%,7:30,,Drank coffee:Worked out,
8/24/16 21:51,8/25/16 6:10,54%,8:19,,Drank coffee:Worked out,
8/25/16 22:06,8/26/16 6:19,55%,8:13,,Drank coffee:Worked out,
8/26/16 23:49,8/27/16 7:26,46%,7:37,,Drank coffee:Worked out,
8/27/16 23:52,8/28/16 8:25,48%,8:33,,Drank coffee,
8/28/16 22:52,8/29/16 6:40,36%,7:48,,Drank coffee,
8/29/16 22:10,8/30/16 6:20,40%,8:09,,Drank coffee:Worked out,
8/30/16 22:21,8/31/16 6:20,49%,7:59,,Drank coffee:Worked out,
8/31/16 22:33,9/1/16 6:20,49%,7:47,,Drank coffee:Worked out,
9/1/16 23:08,9/2/16 5:58,54%,6:50,,Drank coffee:Worked out,
9/2/16 22:38,9/3/16 7:47,67%,9:09,,Drank coffee,
9/4/16 23:28,9/5/16 8:00,61%,8:32,,Drank coffee,
9/5/16 21:00,9/6/16 6:20,41%,9:20,,Drank tea:Worked out,
9/6/16 22:11,9/7/16 6:22,70%,8:10,,Drank tea:Worked out,
9/7/16 22:31,9/8/16 6:21,69%,7:50,,Drank tea:Worked out,
9/8/16 22:28,9/9/16 6:10,61%,7:41,,Drank tea:Worked out,
9/10/16 0:45,9/10/16 7:06,58%,6:21,,Drank coffee:Worked out,
9/10/16 22:44,9/11/16 6:01,33%,7:17,,Drank tea,
9/11/16 23:05,9/12/16 6:20,60%,7:14,,Drank coffee,
9/12/16 22:46,9/13/16 6:20,67%,7:34,,Drank tea:Worked out,
9/13/16 21:55,9/14/16 6:07,59%,8:12,,Drank tea:Worked out,
9/14/16 22:26,9/15/16 6:20,65%,7:53,,Drank tea:Worked out,
9/17/16 22:26,9/18/16 8:22,70%,9:56,,Drank coffee,
9/18/16 22:28,9/19/16 6:24,57%,7:55,,Drank coffee:Worked out,
9/19/16 22:14,9/20/16 6:22,60%,8:07,,Drank tea:Worked out,
9/20/16 22:39,9/21/16 6:15,57%,7:36,,Drank tea:Worked out,
9/21/16 22:11,9/22/16 6:11,60%,7:59,,Drank tea,
9/22/16 22:26,9/23/16 6:55,70%,8:29,,Drank tea:Worked out,
9/25/16 22:53,9/26/16 6:24,58%,7:31,,Drank coffee:Drank tea:Worked out,
9/26/16 22:17,9/27/16 6:20,55%,8:03,,Drank tea:Stressful day:Worked out,
9/27/16 22:22,9/28/16 6:06,55%,7:44,,Drank tea:Worked out,
9/28/16 23:10,9/29/16 6:20,60%,7:09,,Drank coffee:Drank tea:Worked out,
9/29/16 22:50,9/30/16 6:20,53%,7:29,,Drank coffee:Worked out,
10/1/16 0:06,10/1/16 8:27,67%,8:20,,Drank coffee:Drank tea:Worked out,
10/1/16 23:23,10/2/16 7:50,55%,8:26,,Drank coffee,
10/2/16 23:29,10/3/16 6:25,54%,6:56,,Drank coffee:Drank tea,
10/3/16 22:24,10/4/16 6:03,62%,7:38,,Drank coffee:Drank tea:Worked out,
10/4/16 21:53,10/5/16 6:21,66%,8:28,,Drank tea:Worked out,
10/5/16 22:33,10/6/16 6:21,54%,7:48,,Drank tea:Worked out,
10/7/16 0:07,10/7/16 6:40,52%,6:33,,Drank tea:Worked out,
10/7/16 23:18,10/8/16 7:20,71%,8:02,,Drank coffee:Drank tea:Worked out,
10/10/16 22:38,10/11/16 6:28,59%,7:49,,Drank coffee:Drank tea:Worked out,
10/11/16 22:28,10/12/16 6:14,56%,7:45,,Drank tea:Worked out,
10/12/16 22:48,10/13/16 6:05,65%,7:16,,Drank coffee:Worked out,
10/13/16 22:26,10/14/16 6:30,61%,8:04,,Drank coffee:Worked out,
10/15/16 23:00,10/16/16 7:31,71%,8:30,,Drank coffee,
10/16/16 22:52,10/17/16 6:20,50%,7:27,,Drank coffee:Drank tea,
10/17/16 22:53,10/18/16 6:27,63%,7:34,,Drank coffee:Drank tea:Worked out,
10/18/16 22:34,10/19/16 6:10,67%,7:35,,Drank coffee:Stressful day:Worked out,
10/19/16 22:13,10/20/16 5:49,64%,7:35,,Drank coffee:Worked out,
10/20/16 22:14,10/21/16 6:33,67%,8:19,,Drank coffee:Drank tea:Worked out,
10/22/16 1:38,10/22/16 7:18,54%,5:39,,Drank coffee:Drank tea,
10/23/16 0:07,10/23/16 8:47,81%,8:40,,Drank coffee,
10/23/16 22:21,10/24/16 6:23,66%,8:01,,Drank coffee:Drank tea,
10/24/16 23:04,10/25/16 6:25,65%,7:21,,Drank coffee:Drank tea:Worked out,
10/25/16 22:48,10/26/16 6:35,69%,7:46,,Drank tea:Worked out,
10/26/16 22:55,10/27/16 6:26,72%,7:30,,Drank coffee:Drank tea:Worked out,
10/27/16 23:03,10/28/16 6:35,63%,7:32,,Drank coffee:Drank tea:Worked out,
10/29/16 0:16,10/29/16 7:51,66%,7:34,,Drank coffee:Drank tea,
10/30/16 22:46,10/31/16 6:10,68%,7:23,,Drank coffee:Worked out,
11/1/16 22:19,11/2/16 5:57,68%,7:37,,Drank tea:Stressful day:Worked out,
11/2/16 22:52,11/3/16 6:30,72%,7:38,,Drank coffee:Drank tea:Stressful day,
11/4/16 0:13,11/4/16 6:15,52%,6:01,,Drank coffee:Drank tea:Stressful day,
11/4/16 22:49,11/5/16 7:58,80%,9:08,,Drank coffee:Stressful day,
11/6/16 21:58,11/7/16 5:47,65%,7:49,,Drank coffee,
11/7/16 22:16,11/8/16 5:51,70%,7:35,,Drank tea:Worked out,
11/8/16 22:51,11/9/16 5:48,62%,6:56,,Drank coffee:Drank tea:Worked out,
11/9/16 22:37,11/10/16 5:55,65%,7:17,,Drank coffee:Drank tea:Worked out,
11/10/16 23:58,11/11/16 7:19,56%,7:20,,Drank coffee:Drank tea:Worked out,
11/11/16 23:25,11/12/16 7:16,74%,7:51,,Drank coffee:Drank tea,
11/15/16 22:14,11/16/16 7:35,72%,9:20,,Drank tea,
11/16/16 23:10,11/17/16 7:07,70%,7:56,,Drank coffee,
11/17/16 23:15,11/18/16 6:59,73%,7:44,,Drank tea,
11/18/16 23:37,11/19/16 7:13,70%,7:36,,Drank coffee:Drank tea,
11/19/16 23:47,11/20/16 7:53,81%,8:05,,Drank tea,
11/20/16 23:00,11/21/16 7:02,80%,8:01,,Drank coffee:Drank tea,
11/21/16 22:38,11/22/16 5:40,68%,7:01,,Drank coffee:Drank tea,
11/22/16 21:26,11/23/16 5:40,80%,8:13,,Drank tea:Worked out,
11/23/16 22:44,11/24/16 6:10,73%,7:25,,Drank coffee:Drank tea:Worked out,
11/24/16 22:00,11/25/16 6:39,88%,8:39,,Drank tea:Worked out,
11/25/16 23:09,11/26/16 7:40,89%,8:30,,Drank coffee:Drank tea,
11/27/16 22:01,11/28/16 6:18,75%,8:16,,Drank tea,
11/28/16 22:35,11/29/16 6:26,83%,7:50,,Drank tea:Worked out,
11/29/16 23:33,11/30/16 6:31,71%,6:57,,Drank tea,
11/30/16 21:12,12/1/16 5:13,89%,8:01,,Drank coffee:Drank tea,
12/1/16 5:14,12/1/16 6:38,17%,1:24,,,
12/1/16 21:40,12/2/16 5:11,71%,7:31,,Drank tea,
12/4/16 1:18,12/4/16 9:20,89%,8:02,,Drank coffee:Drank tea,
12/4/16 21:45,12/5/16 5:45,78%,8:00,,Drank tea,
12/5/16 21:44,12/6/16 5:40,79%,7:55,,Drank tea:Worked out,
12/6/16 22:13,12/7/16 5:46,72%,7:32,,Drank tea:Worked out,
12/7/16 22:46,12/8/16 6:19,82%,7:32,,Drank coffee:Drank tea:Worked out,
12/8/16 23:32,12/9/16 6:47,69%,7:15,,Drank coffee:Drank tea:Worked out,
12/9/16 22:48,12/10/16 8:11,79%,9:23,,Drank tea,
12/11/16 1:07,12/11/16 8:27,82%,7:19,,Drank coffee:Worked out,
12/11/16 22:14,12/12/16 6:16,85%,8:01,,Drank tea,
12/12/16 22:56,12/13/16 6:35,81%,7:38,,Drank coffee:Drank tea,
12/13/16 22:02,12/14/16 6:05,83%,8:02,,Drank coffee:Drank tea:Worked out,
12/14/16 21:57,12/15/16 6:18,74%,8:20,,Drank tea,
12/15/16 21:29,12/16/16 5:00,75%,7:31,,Drank tea,
12/18/16 22:35,12/19/16 5:47,78%,7:11,,Drank coffee:Drank tea,
12/19/16 21:49,12/20/16 6:35,96%,8:46,,Drank tea,
12/20/16 23:48,12/21/16 7:09,84%,7:20,,Drank tea,
12/21/16 23:56,12/22/16 7:30,86%,7:33,,Drank coffee:Drank tea,
12/22/16 23:07,12/23/16 7:07,74%,8:00,,Drank coffee:Drank tea:Stressful day,
12/27/16 23:17,12/28/16 7:22,69%,8:05,,Drank coffee:Drank tea,
12/30/16 23:25,12/31/16 8:26,92%,9:00,,Drank coffee:Drank tea,
1/2/17 22:35,1/3/17 5:10,73%,6:34,,Drank coffee:Drank tea,
1/3/17 5:11,1/3/17 6:30,17%,1:19,,,
1/3/17 21:47,1/4/17 5:57,87%,8:09,,Drank tea,
1/4/17 22:40,1/5/17 6:10,87%,7:29,,Drank coffee:Drank tea:Worked out,
1/5/17 22:39,1/6/17 6:42,93%,8:02,,Drank tea:Worked out,
1/6/17 23:14,1/7/17 8:43,90%,9:29,,Drank coffee:Drank tea,
1/8/17 0:34,1/8/17 7:56,79%,7:22,,Drank tea,
1/8/17 22:07,1/9/17 6:23,84%,8:16,,Drank tea,
1/9/17 22:42,1/10/17 6:40,65%,7:57,,Drank coffee:Drank tea,
1/10/17 22:20,1/11/17 6:14,84%,7:54,,Drank coffee:Drank tea,
1/11/17 22:14,1/12/17 5:22,73%,7:07,,Drank coffee:Drank tea,
1/12/17 22:13,1/13/17 5:31,64%,7:17,,Ate late:Drank coffee:Drank tea,
1/13/17 23:27,1/14/17 7:22,89%,7:54,,Drank tea:Worked out,
1/15/17 23:25,1/16/17 6:58,74%,7:32,,Drank coffee:Drank tea:Worked out,
1/16/17 21:58,1/17/17 5:11,71%,7:12,,Drank tea,
1/17/17 5:12,1/17/17 7:20,24%,2:08,,,
1/17/17 22:23,1/18/17 5:01,57%,6:37,,Drank tea,
1/18/17 22:22,1/19/17 6:31,76%,8:09,,Drank tea,
1/19/17 22:14,1/20/17 6:30,92%,8:15,,Drank coffee:Drank tea,
1/20/17 23:07,1/21/17 7:45,78%,8:38,,Drank tea,
1/21/17 23:12,1/22/17 7:42,96%,8:29,,Drank tea,
1/22/17 22:03,1/23/17 6:25,64%,8:22,,Drank tea,
1/23/17 22:34,1/24/17 6:09,89%,7:35,,Drank coffee:Drank tea,
1/24/17 22:55,1/25/17 6:13,84%,7:17,,Drank coffee:Drank tea,
1/25/17 20:54,1/26/17 5:09,85%,8:15,,Drank tea:Worked out,
1/26/17 22:12,1/27/17 4:58,54%,6:45,,Drank coffee:Drank tea:Worked out,
1/27/17 4:58,1/27/17 6:40,21%,1:42,,,
1/27/17 23:22,1/28/17 7:25,91%,8:02,,Drank coffee:Drank tea,
1/30/17 23:27,1/31/17 6:01,63%,6:34,,Drank coffee,
1/31/17 22:44,2/1/17 6:20,78%,7:36,,Drank coffee:Drank tea:Worked out,
2/1/17 22:41,2/2/17 6:10,74%,7:29,,Drank coffee:Drank tea:Worked out,
2/2/17 22:19,2/3/17 6:31,85%,8:11,,Drank coffee:Drank tea,
2/3/17 23:58,2/4/17 7:08,80%,7:09,,Drank coffee:Drank tea,
2/4/17 23:45,2/5/17 7:20,68%,7:35,,Drank coffee:Drank tea,
2/5/17 22:53,2/6/17 6:30,75%,7:36,,Drank coffee:Drank tea,
2/6/17 22:30,2/7/17 6:20,71%,7:50,,Ate late:Drank coffee:Drank tea:Worked out,
2/7/17 23:34,2/8/17 6:30,71%,6:55,,Drank coffee:Drank tea,
2/8/17 23:46,2/9/17 6:27,68%,6:40,,Drank coffee:Drank tea,
2/9/17 22:31,2/10/17 5:00,62%,6:28,,Drank coffee:Drank tea:Stressful day:Worked out,
2/10/17 5:00,2/10/17 6:36,21%,1:36,,,
2/10/17 22:37,2/11/17 7:07,100%,8:30,,Drank tea,
2/12/17 21:49,2/13/17 7:06,63%,9:16,,Drank coffee:Drank tea,
2/13/17 21:51,2/14/17 5:02,74%,7:10,,Drank coffee:Drank tea,
2/14/17 5:02,2/14/17 6:36,12%,1:33,,,
2/14/17 23:17,2/15/17 6:13,59%,6:55,,Drank coffee:Drank tea,
2/15/17 22:36,2/16/17 6:25,44%,7:48,,Drank coffee:Drank tea,
2/16/17 22:33,2/17/17 6:31,83%,7:58,,Drank coffee:Drank tea,
2/17/17 23:49,2/18/17 8:09,93%,8:20,,Drank coffee:Drank tea,
2/19/17 0:28,2/19/17 8:16,79%,7:48,,Drank tea,
2/19/17 22:12,2/20/17 6:16,66%,8:04,,Drank coffee:Drank tea,
2/20/17 22:43,2/21/17 6:27,76%,7:43,,Drank tea,
2/21/17 23:14,2/22/17 6:26,72%,7:11,,Drank coffee:Drank tea,
2/22/17 21:30,2/23/17 5:02,83%,7:31,,Drank tea,
2/23/17 22:15,2/24/17 5:34,81%,7:19,,Drank coffee:Drank tea,
2/24/17 5:34,2/24/17 6:30,12%,0:55,,,
2/25/17 2:46,2/25/17 9:52,80%,7:06,,Ate late:Drank coffee:Drank tea:Worked out,
2/26/17 0:40,2/26/17 7:47,77%,7:07,,Drank tea,
2/27/17 22:16,2/28/17 5:50,81%,7:34,,Drank coffee,
2/28/17 21:39,3/1/17 5:40,87%,8:01,,Drank coffee:Drank tea:Worked out,
3/1/17 5:43,3/1/17 6:40,12%,0:57,,,
3/1/17 22:23,3/2/17 6:30,85%,8:07,,Drank coffee:Drank tea,
3/2/17 22:22,3/3/17 6:18,81%,7:55,,Drank coffee:Drank tea:Worked out,
3/5/17 0:12,3/5/17 8:28,96%,8:16,,Drank coffee:Drank tea,
3/5/17 22:01,3/6/17 6:08,93%,8:07,,Drank coffee:Drank tea,
3/6/17 22:01,3/7/17 6:22,97%,8:21,,Drank coffee:Drank tea,
3/7/17 22:13,3/8/17 6:15,90%,8:01,,Drank coffee:Drank tea:Worked out,
3/8/17 21:13,3/9/17 6:18,85%,9:05,,Drank coffee:Drank tea,
3/9/17 21:48,3/10/17 5:01,71%,7:13,,Drank coffee:Drank tea:Worked out,
3/10/17 22:42,3/11/17 6:57,86%,8:14,,Drank coffee:Drank tea,
3/12/17 22:39,3/13/17 6:33,80%,7:53,,Drank coffee:Drank tea,
3/13/17 21:20,3/14/17 5:02,81%,7:42,,Drank tea:Worked out,
3/14/17 21:06,3/15/17 5:23,89%,8:17,,Drank tea:Worked out,
3/15/17 22:33,3/16/17 6:17,71%,7:44,,Drank coffee:Drank tea:Worked out,
3/16/17 22:33,3/17/17 6:37,95%,8:04,,Drank coffee:Drank tea:Worked out,
3/17/17 22:55,3/18/17 8:02,99%,9:07,,Drank coffee:Drank tea,
3/18/17 22:26,3/19/17 7:21,89%,8:54,,Drank tea,
3/20/17 0:02,3/20/17 7:20,79%,7:18,,Drank coffee:Drank tea,
3/20/17 23:35,3/21/17 7:16,88%,7:41,,Drank coffee:Drank tea,
3/21/17 23:20,3/22/17 6:21,79%,7:01,,Drank coffee:Drank tea,
3/22/17 22:02,3/23/17 5:15,72%,7:12,,Drank tea:Worked out,
3/23/17 22:20,3/24/17 5:41,76%,7:21,,Drank coffee:Drank tea:Worked out,
3/25/17 23:19,3/26/17 7:16,100%,7:56,,Drank coffee:Drank tea,
3/26/17 22:03,3/27/17 5:33,83%,7:29,,Drank coffee:Drank tea:Worked out,
3/27/17 21:19,3/28/17 5:42,78%,8:22,,Drank tea:Worked out,
3/28/17 22:29,3/29/17 5:41,78%,7:11,,Drank coffee:Drank tea:Worked out,
3/29/17 22:29,3/30/17 6:04,79%,7:34,,Drank coffee:Drank tea:Worked out,
3/30/17 22:42,3/31/17 7:33,93%,8:51,,Drank coffee:Drank tea:Worked out,
4/1/17 2:10,4/1/17 8:37,80%,6:27,,Drank coffee:Drank tea,
4/1/17 21:22,4/2/17 7:16,95%,9:54,,Drank tea,
4/2/17 22:01,4/3/17 6:20,90%,8:19,,Drank coffee:Drank tea:Worked out,
4/3/17 21:58,4/4/17 6:01,92%,8:03,,Drank tea,
4/4/17 22:01,4/5/17 6:11,81%,8:09,,Drank tea:Worked out,
4/5/17 23:45,4/6/17 6:20,73%,6:35,,Drank coffee:Drank tea:Worked out,
4/6/17 23:12,4/7/17 6:20,68%,7:07,,Drank coffee:Drank tea:Worked out,
4/8/17 0:00,4/8/17 7:30,75%,7:29,,Drank coffee:Drank tea:Worked out,
4/10/17 0:52,4/10/17 6:32,65%,5:40,,Drank coffee,
4/10/17 22:21,4/11/17 5:41,70%,7:19,,Drank tea:Worked out,
4/11/17 6:03,4/11/17 6:31,6%,0:27,,,
4/11/17 22:39,4/12/17 5:55,67%,7:16,,,
4/12/17 21:42,4/13/17 6:54,74%,9:11,,Drank tea,
4/13/17 23:52,4/14/17 8:05,83%,8:12,,Drank coffee:Drank tea,
4/14/17 21:45,4/15/17 7:52,88%,10:07,,Drank tea,
4/15/17 23:23,4/16/17 7:05,73%,7:42,,Drank tea,
4/17/17 0:06,4/17/17 7:51,83%,7:44,,Drank coffee:Drank tea,
4/17/17 22:12,4/18/17 5:54,66%,7:41,,Drank coffee:Drank tea,
4/18/17 22:43,4/19/17 6:20,59%,7:36,,Drank coffee:Drank tea:Worked out,
4/19/17 21:39,4/20/17 5:30,75%,7:51,,,
4/20/17 22:15,4/21/17 5:41,75%,7:26,,Drank coffee:Drank tea:Worked out,
4/21/17 22:36,4/22/17 7:46,83%,9:09,,Drank coffee:Drank tea:Worked out,
4/23/17 0:53,4/23/17 8:38,86%,7:44,,Drank coffee:Drank tea,
4/23/17 22:31,4/24/17 6:31,75%,7:59,,Drank coffee,
4/24/17 23:07,4/25/17 6:34,72%,7:27,,Drank coffee:Drank tea:Worked out,
4/25/17 22:20,4/26/17 6:20,85%,8:00,,Drank coffee:Drank tea:Worked out,
4/26/17 22:25,4/27/17 6:32,68%,8:06,,Drank coffee:Drank tea:Worked out,
4/27/17 22:48,4/28/17 6:40,64%,7:51,,Drank coffee:Drank tea:Worked out,
4/28/17 23:39,4/29/17 8:17,90%,8:37,,Drank coffee:Drank tea:Stressful day,
4/29/17 23:39,4/30/17 7:23,74%,7:43,,Drank coffee:Drank tea,
4/30/17 22:28,5/1/17 6:16,72%,7:47,,Drank coffee:Drank tea:Worked out,
5/1/17 22:00,5/2/17 6:17,74%,8:16,,Drank coffee:Drank tea:Worked out,
5/2/17 21:47,5/3/17 6:04,77%,8:16,,Drank coffee:Drank tea:Worked out,
5/3/17 22:59,5/4/17 6:20,59%,7:21,,Drank coffee:Drank tea:Worked out,
5/4/17 22:37,5/5/17 6:10,73%,7:32,,Drank coffee:Drank tea:Worked out,
5/6/17 0:25,5/6/17 7:45,83%,7:20,,Drank coffee:Drank tea:Worked out,
5/7/17 21:51,5/8/17 6:10,81%,8:18,,Drank coffee,
