Start,End,Quality,TimeInBed,WakeUp,SleepNotes,HeartRate
4/9/15 21:56,4/10/15 5:23,80%,7:27,:),Drank coffee:Drank tea:Worked out,
4/10/15 23:51,4/11/15 7:41,85%,7:50,:),Drank tea:Worked out,
4/11/15 23:16,4/12/15 6:53,97%,7:36,:),Drank coffee:Drank tea,52
4/12/15 22:04,4/13/15 5:41,84%,7:36,:),Drank coffee:Drank tea,58
4/13/15 22:19,4/14/15 5:45,78%,7:25,:),Drank tea:Worked out,57
4/15/15 0:28,4/15/15 7:30,81%,7:01,:),Drank coffee:Drank tea:Worked out,63
4/16/15 23:20,4/17/15 6:20,82%,6:59,:),Drank coffee:Drank tea,58
4/17/15 23:50,4/18/15 7:22,59%,7:32,:),Drank coffee:Drank tea:Stressful day:Worked out,53
4/20/15 22:37,4/21/15 6:18,77%,7:40,:),Drank coffee:Drank tea,58
4/22/15 21:31,4/23/15 5:11,77%,7:39,:),Drank coffee:Drank tea:Stressful day,67
4/23/15 21:46,4/24/15 5:13,87%,7:26,:),Drank coffee:Drank tea:Stressful day:Worked out,
4/25/15 22:53,4/26/15 7:53,100%,9:00,:),Drank coffee:Drank tea,61
4/26/15 21:51,4/27/15 4:59,70%,7:07,:),Ate late:Drank coffee:Drank tea,64
4/27/15 21:35,4/28/15 4:57,77%,7:21,:),Drank tea:Worked out,59
4/28/15 21:41,4/29/15 5:00,53%,7:18,:),Drank coffee:Worked out,59
4/30/15 23:13,5/1/15 6:06,77%,6:52,:),Drank coffee:Drank tea:Stressful day,60
5/1/15 22:20,5/2/15 6:07,65%,7:46,:),Drank coffee:Worked out,91
5/5/15 22:23,5/6/15 6:18,83%,7:54,:),Drank coffee:Drank tea:Worked out,62
5/6/15 21:47,5/7/15 5:21,50%,7:34,:),Ate late:Drank coffee:Drank tea:Worked out,59
5/7/15 21:22,5/8/15 4:57,89%,7:34,:),Drank tea:Worked out,54
5/9/15 1:58,5/9/15 7:01,61%,5:03,:),Drank coffee:Drank tea:Stressful day:Worked out,75
5/10/15 22:11,5/11/15 5:00,66%,6:48,:),Drank coffee:Drank tea:Worked out,50
5/11/15 21:57,5/12/15 5:00,75%,7:03,:),Drank tea:Worked out,55
5/12/15 22:04,5/13/15 4:52,72%,6:47,:),Drank tea:Worked out,59
5/14/15 22:49,5/15/15 6:17,79%,7:28,:),Drank coffee:Drank tea,51
5/17/15 21:03,5/18/15 7:49,93%,10:46,:),Drank tea:Stressful day,59
5/18/15 22:39,5/19/15 6:20,91%,7:41,:),,59
5/20/15 22:22,5/21/15 5:25,59%,7:02,:),Drank tea:Worked out,62
5/21/15 22:47,5/22/15 5:25,74%,6:38,:),Drank coffee:Drank tea:Worked out,60
5/24/15 0:01,5/24/15 7:35,73%,7:33,:),Drank coffee:Worked out,
5/24/15 22:58,5/25/15 6:45,67%,7:47,:),Drank coffee:Drank tea,61
5/25/15 22:05,5/26/15 5:29,85%,7:23,:),Drank coffee:Drank tea,
5/26/15 22:18,5/27/15 5:14,69%,6:56,:),Drank coffee:Drank tea:Worked out,
5/28/15 23:10,5/29/15 7:00,81%,7:49,:),Drank coffee:Drank tea:Worked out,52
5/31/15 23:16,6/1/15 6:20,72%,7:03,:),Drank coffee,76
6/1/15 22:20,6/2/15 6:19,76%,7:59,:),Drank coffee:Drank tea:Worked out,57
6/3/15 22:19,6/4/15 5:20,78%,7:00,:),Drank coffee:Drank tea,64
6/4/15 22:20,6/5/15 3:45,70%,5:25,:(,Drank coffee:Drank tea:Worked out,
6/5/15 3:45,6/5/15 5:41,23%,1:55,:),,57
6/7/15 22:01,6/8/15 5:40,75%,7:39,:),Drank coffee,58
6/8/15 21:57,6/9/15 5:16,69%,7:19,:),Drank coffee:Drank tea:Worked out,
6/9/15 21:07,6/10/15 5:01,83%,7:54,:),Drank coffee:Drank tea:Worked out,
6/10/15 21:12,6/11/15 6:17,92%,9:04,:),Drank tea:Stressful day:Worked out,68
6/11/15 22:54,6/12/15 6:19,74%,7:25,:),Drank coffee:Worked out,
6/14/15 22:38,6/15/15 6:12,81%,7:34,:),Drank coffee:Drank tea,
6/15/15 22:31,6/16/15 6:20,88%,7:48,:),Drank coffee:Drank tea:Worked out,64
6/16/15 22:21,6/17/15 6:20,69%,7:59,:),Drank coffee:Drank tea:Stressful day:Worked out,
6/17/15 21:28,6/18/15 5:00,63%,7:31,:),Drank coffee,
6/18/15 22:26,6/19/15 4:46,71%,6:20,:),Drank coffee:Worked out,
6/22/15 21:54,6/23/15 5:07,78%,7:13,:),Drank coffee:Worked out,
6/23/15 22:09,6/24/15 4:57,76%,6:48,:),Drank coffee:Drank tea:Worked out,
6/24/15 4:58,6/24/15 5:45,10%,0:46,:),,
6/24/15 22:37,6/25/15 6:20,82%,7:43,:),Drank coffee:Stressful day:Worked out,58
7/11/15 22:29,7/12/15 8:00,98%,9:31,:),Drank coffee:Stressful day,69
7/19/15 21:38,7/20/15 6:09,69%,8:31,:),Drank coffee,74
7/20/15 22:01,7/21/15 5:04,68%,7:03,:),Drank coffee:Drank tea:Worked out,
7/21/15 22:02,7/22/15 5:45,79%,7:42,:),Drank coffee:Drank tea:Worked out,67
7/23/15 22:29,7/24/15 6:44,86%,8:14,:),Drank coffee:Stressful day:Worked out,
7/26/15 22:29,7/27/15 6:20,93%,7:50,:),Drank coffee:Worked out,58
7/28/15 21:32,7/29/15 5:39,68%,8:07,:),Drank coffee:Drank tea:Stressful day:Worked out,58
7/29/15 23:06,7/30/15 5:40,71%,6:34,:),Drank coffee:Drank tea:Worked out,61
7/30/15 21:40,7/31/15 5:40,88%,8:00,:),Drank coffee:Worked out,64
8/1/15 1:41,8/1/15 8:31,77%,6:49,:),Drank coffee:Drank tea:Worked out,64
8/1/15 22:55,8/2/15 8:02,97%,9:06,:),Drank coffee:Worked out,
8/2/15 23:45,8/3/15 0:00,3%,0:15,:|,Drank coffee:Worked out,
8/3/15 0:26,8/3/15 7:25,88%,6:59,:),Drank coffee:Worked out,68
8/3/15 21:46,8/4/15 5:00,71%,7:14,:),Drank coffee:Stressful day:Worked out,
8/4/15 21:17,8/5/15 4:55,81%,7:38,:),Drank coffee:Drank tea:Worked out,
8/5/15 21:35,8/6/15 4:55,78%,7:19,:),Drank coffee:Drank tea:Worked out,57
8/8/15 0:19,8/8/15 7:56,97%,7:37,:),Drank coffee:Worked out,54
8/10/15 0:01,8/10/15 5:03,65%,5:02,:),Drank coffee,
8/10/15 21:11,8/11/15 6:09,72%,8:58,:),Drank coffee:Drank tea:Worked out,50
8/15/15 23:41,8/16/15 7:27,84%,7:46,:),Drank coffee,
8/16/15 21:44,8/17/15 4:45,58%,7:00,:),Drank coffee,56
8/17/15 22:13,8/18/15 5:27,85%,7:14,:),Drank coffee:Drank tea:Worked out,
8/18/15 22:33,8/19/15 6:45,90%,8:12,:),Drank coffee:Drank tea:Worked out,57
8/19/15 21:48,8/20/15 6:01,79%,8:12,:),Drank coffee:Worked out,51
8/20/15 22:36,8/21/15 6:00,69%,7:23,:),Drank coffee,58
8/21/15 21:52,8/22/15 6:00,88%,8:07,:),Drank coffee:Stressful day,
8/22/15 21:59,8/23/15 5:49,90%,7:49,:),Drank coffee,52
8/23/15 21:59,8/24/15 5:29,83%,7:30,:),Ate late:Drank coffee:Drank tea,52
8/25/15 21:57,8/26/15 5:45,67%,7:48,:),Drank coffee,
8/26/15 21:14,8/27/15 5:45,90%,8:30,:),Drank coffee:Stressful day,
8/27/15 21:19,8/28/15 5:45,93%,8:26,:|,,60
8/28/15 22:01,8/29/15 6:00,85%,7:59,:),Drank coffee:Drank tea,62
8/30/15 22:00,8/31/15 6:00,84%,8:00,:),Drank coffee,66
8/31/15 22:14,9/1/15 6:00,77%,7:46,:),Drank coffee,
9/1/15 22:00,9/2/15 6:00,85%,7:59,:),Drank tea,65
9/2/15 23:36,9/3/15 7:10,77%,7:33,:),Drank coffee,57
9/5/15 22:54,9/6/15 6:59,87%,8:04,:),Drank coffee,
9/7/15 22:45,9/8/15 6:13,84%,7:27,:),Drank coffee:Drank tea,61
9/8/15 22:03,9/9/15 6:04,86%,8:01,:),Drank tea:Worked out,
9/9/15 22:40,9/10/15 6:10,83%,7:29,:),Drank coffee:Drank tea:Worked out,
9/10/15 22:10,9/11/15 4:57,77%,6:46,:),Drank coffee:Drank tea:Worked out,
9/12/15 0:06,9/12/15 7:41,81%,7:35,:),Drank coffee:Worked out,
9/13/15 22:03,9/14/15 5:50,81%,7:47,:),Drank coffee,
9/14/15 22:33,9/15/15 6:30,83%,7:56,:),Drank coffee:Stressful day:Worked out,
9/15/15 22:14,9/16/15 5:55,70%,7:40,:),Drank coffee:Worked out,
9/16/15 21:59,9/17/15 6:20,80%,8:20,:),Drank coffee:Drank tea:Worked out,59
9/17/15 22:57,9/18/15 6:20,60%,7:22,:),Drank coffee:Drank tea:Worked out,56
9/19/15 0:31,9/19/15 6:55,55%,6:23,:),Drank coffee,
9/19/15 22:01,9/20/15 6:48,91%,8:47,:),Drank coffee,
9/20/15 22:07,9/21/15 6:15,79%,8:08,:),Drank coffee:Drank tea:Worked out,55
9/22/15 21:34,9/23/15 6:15,81%,8:41,:),Drank coffee:Drank tea:Worked out,58
9/23/15 21:37,9/24/15 5:07,77%,7:29,:),Drank coffee:Drank tea:Worked out,49
9/24/15 22:37,9/25/15 6:00,83%,7:22,:),Ate late:Drank coffee:Drank tea:Worked out,
9/27/15 22:57,9/28/15 7:00,82%,8:02,:),Drank tea,61
9/28/15 21:12,9/29/15 5:15,90%,8:02,:),Drank tea:Worked out,60
9/29/15 22:54,9/30/15 6:20,89%,7:25,:),Ate late:Drank coffee:Drank tea:Worked out,58
9/30/15 23:57,10/1/15 6:14,62%,6:16,:),Drank coffee:Drank tea:Worked out,55
10/3/15 0:09,10/3/15 7:26,69%,7:17,:),Drank coffee:Worked out,57
10/11/15 0:27,10/11/15 8:58,100%,8:31,:),Drank coffee:Stressful day,50
10/12/15 21:59,10/13/15 6:00,74%,8:01,:),Ate late:Drank coffee:Drank tea:Worked out,
10/13/15 22:19,10/14/15 4:59,59%,6:40,:),Drank coffee:Worked out,
10/14/15 5:00,10/14/15 6:00,13%,1:00,:),,
10/14/15 22:40,10/15/15 6:20,68%,7:40,:),Drank tea:Worked out,65
10/15/15 22:12,10/16/15 6:21,67%,8:08,:),Drank coffee:Drank tea:Worked out,58
10/17/15 0:45,10/17/15 7:37,57%,6:51,:),Drank coffee:Drank tea,
10/18/15 21:52,10/19/15 6:20,67%,8:27,:|,Drank coffee,
