overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,deep,rem,wake,light
75,39,40,45,0.152147239,24550716102,11/7/19,25020000,383,34,0,417,90,40,108,34,235
72,32,72,46,0.201689546,24554805106,11/8/19,28680000,389,89,0,478,98,73,90,89,226
67,29,35,46,0.075533662,24575663643,11/9/19,18480000,270,38,0,308,94,35,73,38,162
80,39,76,48,0.201716738,24586073757,11/10/19,28140000,417,52,0,469,99,76,121,52,220
79,38,67,47,0.137809187,24590204015,11/11/19,26040000,383,51,0,434,91,67,103,51,213
59,28,4,46,0.153688525,24614327984,11/12/19,15720000,220,42,0,262,98,4,28,42,188
67,31,28,46,0.169550173,24636780923,11/13/19,26400000,359,81,0,440,98,28,61,81,270
69,37,57,46,0.160377358,24636780924,11/14/19,25740000,375,54,0,429,99,57,70,54,248
69,33,50,47,0.096129838,24659721258,11/15/19,24000000,342,58,0,400,93,51,55,58,236
60,30,57,47,0.207778915,24659721260,11/16/19,29280000,393,95,0,488,92,57,98,95,238
69,34,39,50,0.071526823,24683395962,11/17/19,21780000,320,43,1,363,96,40,67,43,213
79,35,75,49,0.088390501,24683395963,11/18/19,23340000,338,51,3,389,96,75,76,51,187
80,40,36,48,0.136417556,24698821500,11/19/19,25800000,393,37,5,430,96,36,81,37,276
65,32,62,47,0.161073826,24707845505,11/20/19,22500000,322,53,6,375,91,62,31,53,229
58,28,27,47,0.182038835,24745400642,11/21/19,25380000,335,88,0,423,90,27,5,88,303
74,36,38,47,0.182237601,24745400643,11/22/19,26100000,378,57,0,435,99,38,87,57,253
79,42,55,48,0.169774289,24754368469,11/23/19,30540000,452,57,0,509,91,55,113,57,284
58,26,20,48,0.068783069,24781797201,11/24/19,16980000,245,38,0,283,94,21,57,38,167
82,41,58,47,0.124860647,24781797203,11/25/19,26880000,418,30,0,448,96,58,141,30,219
74,34,46,45,0.097442144,24792764705,11/26/19,25920000,354,78,0,432,97,46,68,78,240
74,36,63,45,0.13950762,24814910760,11/27/19,25560000,371,55,0,426,92,63,67,55,241
76,37,51,45,0.174621653,24814910761,11/28/19,26220000,379,58,0,437,90,51,94,58,234
82,40,86,45,0.120181406,24829495799,11/29/19,26760000,404,42,1,446,94,86,84,42,234
