overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,deep,rem,wake,light
72,37,62,52,0.107628004,24605116778,11/12/19,29100000,409,76,0,485,91,62,62,76,285
74,42,72,51,0.072572038,24619240566,11/13/19,29040000,423,61,0,484,93,73,47,61,303
73,37,56,53,0.082529475,24629537286,11/14/19,27960000,402,64,0,466,94,57,58,64,287
76,40,70,51,0.082698585,24642696271,11/15/19,30000000,420,80,0,500,90,70,107,80,243
75,42,62,53,0.102336825,24655696518,11/16/19,37200000,516,104,0,620,91,62,72,104,382
83,45,84,54,0.105691057,24666667030,11/17/19,33180000,491,62,0,553,90,84,96,62,311
76,41,46,53,0.095904096,24676413873,11/18/19,30180000,431,72,0,503,92,46,60,72,325
66,37,74,52,0.113402062,24689343230,11/19/19,29340000,416,73,0,489,88,74,36,73,306
73,41,70,53,0.101554404,24703090834,11/20/19,29340000,423,66,0,489,90,70,76,66,277
73,41,63,55,0.082744702,24718836569,11/21/19,29700000,437,58,0,495,91,63,58,58,316
71,35,66,56,0.104568528,24737364324,11/22/19,29520000,417,75,11,492,95,67,70,75,280
79,45,61,55,0.068308181,24751559045,11/23/19,38640000,567,77,0,644,94,61,54,77,452
60,34,31,55,0.082758621,24759989126,11/24/19,21960000,324,42,7,366,94,31,26,42,267
77,40,39,59,0.079878665,24772750924,11/25/19,29820000,428,69,0,497,95,39,46,69,343
81,42,57,57,0.060988433,24786762017,11/26/19,29160000,433,53,0,486,94,58,75,53,300
76,41,63,55,0.075322101,24796686687,11/27/19,30720000,449,63,0,512,93,63,67,63,319
77,41,87,55,0.076076076,24808113226,11/28/19,29940000,442,57,0,499,90,87,77,57,278
68,35,15,54,0.068812431,24818660562,11/29/19,27000000,383,67,0,450,96,15,54,67,314
76,46,93,54,0.084315503,24827636725,11/30/19,33060000,499,52,3,551,94,94,55,52,350
78,42,48,56,0.090817356,24840185583,12/1/19,30540000,449,60,0,509,93,48,93,60,308
73,36,61,56,0.078534031,24851379856,12/2/19,28980000,411,72,5,483,94,62,48,72,301
69,37,61,54,0.093457944,24863076809,12/3/19,30300000,417,88,6,505,95,62,50,88,305
68,34,66,54,0.099685205,24884819051,12/4/19,28560000,400,76,0,476,95,67,79,76,254
74,42,45,54,0.074775673,24896338188,12/5/19,30840000,447,67,0,514,95,45,63,67,339
78,41,57,55,0.084422111,24908259986,12/6/19,30540000,440,69,2,509,93,57,83,69,300
73,36,56,54,0.071515152,24919819656,12/7/19,24720000,366,46,0,412,95,56,42,46,268
79,45,46,52,0.081952921,24929604298,12/8/19,34680000,502,76,0,578,93,47,48,76,407
74,41,67,53,0.077163712,24940641066,12/9/19,29940000,424,75,0,499,91,68,54,75,302
65,35,50,54,0.100893997,24955358947,12/10/19,23700000,347,48,0,395,93,50,50,48,247
65,35,50,54,0.100893997,24955358947,12/10/19,23700000,347,48,0,395,93,50,50,48,247
79,44,65,56,0.095439189,24967460099,12/11/19,35760000,516,80,0,596,92,65,90,80,361
74,42,51,56,0.069546891,24978474292,12/12/19,29160000,427,59,6,486,94,51,28,59,348
77,38,76,56,0.062567422,24992858512,12/13/19,28860000,410,71,3,481,96,76,44,71,290
72,37,56,55,0.084477297,25055615665,12/18/19,28680000,410,68,0,478,96,56,47,68,307
70,35,67,54,0.091194969,25069701660,12/19/19,28920000,404,78,0,482,92,68,43,78,293
62,36,82,54,0.166824645,25085069675,12/20/19,31620000,430,97,0,527,82,82,44,97,304
78,41,41,56,0.076923077,25095243998,12/21/19,29460000,433,58,0,491,96,41,57,58,335
67,39,106,53,0.138862102,25113248449,12/22/19,31260000,440,81,0,521,90,107,51,81,282
85,46,80,55,0.082608696,25116910326,12/23/19,35040000,518,66,7,584,94,80,72,66,366
62,32,68,52,0.112922002,25127024324,12/24/19,25740000,359,70,0,429,91,68,40,70,251
75,44,92,54,0.099585062,25139986673,12/25/19,36120000,521,81,0,602,94,93,31,81,397
80,43,92,55,0.08988764,25164708623,12/27/19,37560000,523,103,0,626,95,92,77,103,354
63,33,45,54,0.097007224,25173413607,12/28/19,29160000,399,87,14,486,94,45,5,87,349
74,45,56,54,0.087628866,25190947826,12/29/19,35460000,514,77,4,591,92,56,46,77,412
85,44,83,56,0.097601323,25200786971,12/30/19,36240000,524,80,15,604,96,83,127,80,314
85,46,76,54,0.065619224,25217621156,12/31/19,33780000,495,68,6,563,96,77,68,68,350
63,31,27,53,0.095112285,25235687156,1/1/20,22680000,324,54,8,378,91,28,78,54,218
75,38,43,55,0.06343714,25241745366,1/2/20,25980000,387,46,0,433,98,43,52,46,292
71,35,60,53,0.113084112,25271304800,1/4/20,32280000,426,112,0,538,92,61,54,112,311
73,42,68,51,0.081932773,25284236029,1/5/20,29040000,430,54,3,484,96,68,51,54,311
70,35,40,52,0.082706767,25297525148,1/6/20,27900000,399,66,0,465,91,40,69,66,290
66,34,47,52,0.083604777,25314381786,1/7/20,27960000,390,76,0,466,95,47,49,76,294
71,37,58,53,0.077085533,25336575804,1/8/20,29400000,413,77,0,490,93,59,47,77,307
77,42,67,53,0.085427136,25356162782,1/9/20,30060000,444,57,0,501,96,67,66,57,311
77,42,67,53,0.085427136,25356162782,1/9/20,30060000,444,57,0,501,96,67,66,57,311
72,41,75,52,0.077725118,25374341616,1/10/20,31920000,466,66,2,532,94,75,59,66,332
76,43,62,53,0.06690455,25387880415,1/11/20,35220000,480,107,5,587,97,62,66,107,352
52,27,33,55,0.145708583,25398758459,1/12/20,15600000,224,36,1,260,85,33,11,36,180
63,37,32,57,0.170135747,25411255861,1/13/20,33120000,454,98,0,552,85,32,66,98,356
73,39,40,59,0.149758454,25432470191,1/14/20,31020000,437,80,0,517,90,40,75,80,322
68,41,21,57,0.182303585,25446733264,1/15/20,39300000,536,119,0,655,85,22,85,119,429
76,40,52,57,0.099350046,25462227826,1/16/20,33060000,468,83,8,551,95,52,76,83,340
86,46,80,55,0.069877243,25479226191,1/17/20,31740000,480,49,0,529,95,80,60,49,340
88,45,91,53,0.091970803,25493194532,1/18/20,41760000,621,75,0,696,94,91,162,75,368
79,40,31,51,0.109677419,25503882703,1/19/20,32520000,470,72,0,542,94,31,111,72,328
77,41,71,49,0.081549439,25519957827,1/20/20,29400000,431,59,0,490,94,71,48,59,312
76,41,45,47,0.108891109,25532148446,1/21/20,30000000,447,53,0,500,92,45,119,53,283
