overall_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,logId,dateOfSleep,duration,minutesAsleep,minutesAwake,minutesAfterWakeup,timeInBed,efficiency,deep,rem,wake,light
77,36,105,67,0.105209397,24544498988,11/7/19,29340000,416,73,0,489,94,105,91,73,220
79,37,91,66,0.109902067,24557100954,11/8/19,27540000,401,58,0,459,95,91,117,58,193
83,40,139,65,0.103799815,24569260396,11/9/19,33000000,472,78,0,550,94,139,145,78,188
84,44,108,66,0.108354012,24580044770,11/10/19,36240000,521,83,0,604,93,108,117,83,296
79,40,97,66,0.077832512,24590721419,11/11/19,30420000,430,77,0,507,94,97,50,77,283
81,41,116,64,0.088264794,24604581722,11/12/19,33300000,442,113,0,555,95,116,90,113,236
76,38,102,64,0.098621421,24619308629,11/13/19,29160000,410,76,0,486,95,103,70,76,237
77,39,61,65,0.110459433,24628997447,11/14/19,30660000,423,88,0,511,92,61,98,88,264
78,40,109,65,0.106654512,24642844365,11/15/19,32880000,470,78,0,548,91,109,84,78,277
69,36,81,64,0.060025543,24665677269,11/17/19,23460000,353,38,0,391,94,81,73,38,199
86,41,123,67,0.085513078,24676854526,11/18/19,30060000,441,60,0,501,94,123,91,60,227
77,36,92,65,0.096348884,24698674030,11/19/19,29580000,415,78,0,493,91,92,90,78,233
76,38,76,63,0.113804004,24703209588,11/20/19,28440000,409,65,0,474,93,77,96,65,236
80,41,93,63,0.096482412,24719952653,11/21/19,29820000,438,59,0,497,94,93,118,59,227
71,36,82,64,0.111229947,24740600162,11/22/19,28020000,402,65,0,467,91,82,94,65,226
79,44,112,66,0.120704846,24750341846,11/23/19,34020000,483,84,0,567,88,112,86,84,285
64,35,49,67,0.114006515,24763238715,11/24/19,27600000,393,67,0,460,88,50,55,67,288
85,42,81,69,0.109390126,24771196805,11/25/19,30960000,457,59,0,516,92,82,111,59,264
83,39,114,67,0.091265947,24785904019,11/26/19,30720000,430,82,0,512,94,114,105,82,211
83,42,99,65,0.115343915,24797096980,11/27/19,29400000,429,61,18,490,94,99,101,61,229
72,34,83,65,0.103553299,24806891340,11/28/19,29520000,408,84,0,492,94,84,80,84,244
72,34,83,65,0.103553299,24806891340,11/28/19,29520000,408,84,0,492,94,84,80,84,244
75,35,75,65,0.092693566,24817530410,11/29/19,27480000,392,66,0,458,94,75,92,66,225
85,45,124,66,0.091419407,24829077079,11/30/19,37740000,550,79,0,629,94,124,131,79,295
75,39,116,67,0.069898534,24840179252,12/1/19,26580000,403,40,0,443,96,116,111,40,176
72,33,78,69,0.097237569,24852153957,12/2/19,27300000,380,75,0,455,89,79,58,75,243
77,36,96,67,0.100966702,24862670534,12/3/19,27900000,396,69,1,465,92,97,100,69,199
76,35,69,66,0.093851133,24885048516,12/4/19,27780000,397,66,0,463,95,69,113,66,215
79,37,79,67,0.094240838,24897262953,12/5/19,28620000,413,64,1,477,92,79,98,64,236
74,36,90,68,0.101223582,24917457523,12/6/19,27180000,391,62,0,453,94,90,70,62,231
82,40,126,68,0.095852535,24917457525,12/7/19,33000000,468,82,1,550,93,126,142,82,200
